Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Season
390,Sandro Mamukelashvili,22,MIL,PF,41,3,407,57,115,0.496,22,52,0.423,35,63,0.556,0.591,18,22,0.818,35,47,82,22,9,9,15,28,154,0,,2022
391,Olivier Sarr,22,OKC,C,22,2,421,58,101,0.574,13,29,0.448,45,72,0.625,0.639,24,29,0.828,34,59,93,19,6,15,22,52,153,0,,2022
392,Patrick Williams,20,CHI,PF,17,9,422,54,102,0.529,15,29,0.517,39,73,0.534,0.603,30,41,0.732,17,52,69,15,9,9,16,28,153,0,,2022
393,Elfrid Payton,27,PHO,PG,50,1,549,67,175,0.383,4,18,0.222,63,157,0.401,0.394,12,32,0.375,21,67,88,99,25,6,47,38,150,0,,2022
394,Nick Richards,24,CHO,C,50,5,367,60,90,0.667,0,0,0.0,60,90,0.667,0.667,30,43,0.698,34,52,86,13,9,21,24,51,150,0,,2022
395,Admiral Schofield,24,ORL,SF,38,1,469,54,129,0.419,26,79,0.329,28,50,0.56,0.519,12,15,0.8,17,72,89,25,4,5,21,58,146,0,,2022
396,James Bouknight,21,CHO,SG,31,0,304,49,141,0.348,17,49,0.347,32,92,0.348,0.408,27,31,0.871,22,30,52,26,7,1,15,29,142,0,,2022
397,Kira Lewis Jr.,20,NOP,PG,24,0,341,59,146,0.404,13,58,0.224,46,88,0.523,0.449,10,12,0.833,9,30,39,49,11,1,26,17,141,0,,2022
398,Wenyen Gabriel,24,3TM,PF,26,5,358,54,110,0.491,8,28,0.286,46,82,0.561,0.527,25,42,0.595,39,58,97,14,5,11,16,68,141,0,,2022
398,Wenyen Gabriel,24,BRK,PF,1,0,1,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,,2022
398,Wenyen Gabriel,24,LAC,PF,6,0,46,5,13,0.385,2,5,0.4,3,8,0.375,0.462,2,4,0.5,5,9,14,2,1,2,3,11,14,0,,2022
398,Wenyen Gabriel,24,LAL,PF,19,5,311,49,97,0.505,6,23,0.261,43,74,0.581,0.536,23,38,0.605,34,48,82,12,4,9,13,57,127,0,,2022
399,Cody Zeller,29,POR,C,27,0,355,51,90,0.567,0,4,0.0,51,86,0.593,0.567,38,49,0.776,50,75,125,22,8,6,19,56,140,0,,2022
400,Nathan Knight,24,MIN,PF,37,2,267,45,88,0.511,4,13,0.308,41,75,0.547,0.534,44,60,0.733,32,53,85,22,7,8,18,42,138,0,,2022
401,Josh Okogie,23,MIN,SG,49,6,516,42,104,0.404,14,47,0.298,28,57,0.491,0.471,35,51,0.686,29,41,70,25,26,12,23,53,133,0,,2022
402,Santi Aldama,21,MEM,PF,32,0,360,53,132,0.402,6,48,0.125,47,84,0.56,0.424,20,32,0.625,33,54,87,21,6,10,16,36,132,0,,2022
403,Kent Bazemore,32,LAL,SF,39,14,545,45,139,0.324,29,80,0.363,16,59,0.271,0.428,13,17,0.765,13,56,69,34,25,9,21,70,132,0,,2022
404,Juancho Hernangómez,26,3TM,PF,40,9,445,44,106,0.415,24,69,0.348,20,37,0.541,0.528,19,34,0.559,28,72,100,20,14,10,16,25,131,0,,2022
404,Juancho Hernangómez,26,BOS,PF,18,0,96,5,27,0.185,3,18,0.167,2,9,0.222,0.241,6,9,0.667,9,16,25,3,4,2,6,7,19,0,,2022
404,Juancho Hernangómez,26,SAS,PF,5,0,51,2,6,0.333,0,3,0.0,2,3,0.667,0.333,3,4,0.75,4,11,15,3,1,1,2,0,7,0,,2022
404,Juancho Hernangómez,26,UTA,PF,17,9,298,37,73,0.507,21,48,0.438,16,25,0.64,0.651,10,21,0.476,15,45,60,14,9,7,8,18,105,0,,2022
405,Jarrett Culver,22,MEM,SG,37,0,338,51,135,0.378,12,47,0.255,39,88,0.443,0.422,16,34,0.471,13,35,48,33,20,5,20,42,130,0,,2022
406,Markieff Morris,32,MIA,PF,17,1,298,54,114,0.474,13,39,0.333,41,75,0.547,0.531,8,9,0.889,17,28,45,23,6,1,20,33,129,0,,2022
407,Enes Freedom,29,BOS,C,35,1,411,51,97,0.526,2,5,0.4,49,92,0.533,0.536,24,28,0.857,61,99,160,8,5,14,20,42,128,0,,2022
408,Markus Howard,22,DEN,SG,31,0,176,39,101,0.386,28,70,0.4,11,31,0.355,0.525,20,23,0.87,2,10,12,7,9,0,7,17,126,0,,2022
409,Elijah Hughes,23,2TM,SG,36,4,434,47,144,0.326,25,95,0.263,22,49,0.449,0.413,7,9,0.778,6,52,58,22,14,8,17,39,126,0,,2022
409,Elijah Hughes,23,UTA,SF,14,1,112,15,36,0.417,10,28,0.357,5,8,0.625,0.556,3,3,1.0,2,15,17,6,4,1,7,7,43,0,,2022
409,Elijah Hughes,23,POR,SG,22,3,322,32,108,0.296,15,67,0.224,17,41,0.415,0.366,4,6,0.667,4,37,41,16,10,7,10,32,83,0,,2022
410,Andre Iguodala,38,GSW,SF,31,0,603,46,121,0.38,17,74,0.23,29,47,0.617,0.45,15,20,0.75,21,79,100,114,27,22,28,34,124,0,,2022
411,Isaiah Livers,23,DET,SF,19,5,383,41,90,0.456,27,64,0.422,14,26,0.538,0.606,12,14,0.857,15,42,57,21,13,7,15,37,121,0,,2022
412,Killian Tillie,23,MEM,C,36,3,461,43,127,0.339,27,86,0.314,16,41,0.39,0.445,5,8,0.625,21,39,60,22,23,15,13,58,118,0,,2022
413,Paul Reed,22,PHI,C,38,2,302,54,96,0.563,2,8,0.25,52,88,0.591,0.573,6,14,0.429,44,48,92,16,33,14,10,57,116,0,,2022
414,Paul Millsap,36,2TM,C,33,1,376,45,115,0.391,8,35,0.229,37,80,0.463,0.426,17,24,0.708,41,73,114,29,10,13,19,67,115,0,,2022
414,Paul Millsap,36,BRK,C,24,0,270,32,85,0.376,6,27,0.222,26,58,0.448,0.412,12,17,0.706,29,60,89,24,5,11,11,48,82,0,,2022
414,Paul Millsap,36,PHI,C,9,1,106,13,30,0.433,2,8,0.25,11,22,0.5,0.467,5,7,0.714,12,13,25,5,5,2,8,19,33,0,,2022
415,Dylan Windler,25,CLE,SF,50,0,459,37,98,0.378,21,70,0.3,16,28,0.571,0.485,15,18,0.833,21,68,89,34,14,3,16,47,110,0,,2022
416,Ish Wainright,27,PHO,PF,45,0,359,41,104,0.394,19,59,0.322,22,45,0.489,0.486,7,12,0.583,27,27,54,15,20,6,13,49,108,0,,2022
417,Kris Dunn,27,POR,PG,14,3,336,44,102,0.431,1,11,0.091,43,91,0.473,0.436,17,18,0.944,9,40,49,79,23,3,32,38,106,0,,2022
418,David Duke Jr.,22,BRK,PG,22,7,341,39,108,0.361,9,37,0.243,30,71,0.423,0.403,17,21,0.81,30,37,67,17,14,7,9,36,104,0,,2022
419,Jaylen Hoard,22,OKC,SF,7,5,240,44,90,0.489,9,25,0.36,35,65,0.538,0.539,6,14,0.429,30,54,84,17,6,5,8,14,103,0,,2022
420,Justin Anderson,28,2TM,SF,16,6,316,36,95,0.379,15,59,0.254,21,36,0.583,0.458,15,19,0.789,4,42,46,33,8,6,8,22,102,0,,2022
420,Justin Anderson,28,CLE,SF,3,0,47,4,8,0.5,2,6,0.333,2,2,1.0,0.625,3,4,0.75,0,6,6,6,1,0,2,4,13,0,,2022
420,Justin Anderson,28,IND,SF,13,6,269,32,87,0.368,13,53,0.245,19,34,0.559,0.443,12,15,0.8,4,36,40,27,7,6,6,18,89,0,,2022
421,Gary Clark,27,NOP,PF,38,1,378,33,88,0.375,28,70,0.4,5,18,0.278,0.534,7,10,0.7,23,67,90,18,13,7,10,20,101,0,,2022
422,Victor Oladipo,29,MIA,SG,8,1,173,35,73,0.479,15,36,0.417,20,37,0.541,0.582,14,19,0.737,3,20,23,28,5,1,16,13,99,0,,2022
423,Boban Marjanović,33,DAL,C,23,0,128,42,70,0.6,1,4,0.25,41,66,0.621,0.607,13,22,0.591,8,31,39,3,0,3,15,24,98,0,,2022
424,Semi Ojeleye,27,2TM,PF,30,0,406,30,99,0.303,15,50,0.3,15,49,0.306,0.379,23,29,0.793,27,47,74,9,7,6,9,30,98,0,,2022
424,Semi Ojeleye,27,MIL,PF,20,0,308,18,70,0.257,11,41,0.268,7,29,0.241,0.336,10,13,0.769,25,33,58,5,5,5,5,26,57,0,,2022
424,Semi Ojeleye,27,LAC,PF,10,0,98,12,29,0.414,4,9,0.444,8,20,0.4,0.483,13,16,0.813,2,14,16,4,2,1,4,4,41,0,,2022
425,PJ Dozier,25,DEN,SG,18,0,340,36,99,0.364,15,48,0.313,21,51,0.412,0.439,10,13,0.769,14,49,63,29,11,6,13,33,97,0,,2022
426,Trevor Ariza,36,LAL,SF,24,11,462,33,99,0.333,20,74,0.27,13,25,0.52,0.434,10,18,0.556,10,72,82,27,13,6,11,20,96,0,,2022
427,Keljin Blevins,26,POR,SF,31,1,349,34,111,0.306,21,72,0.292,13,39,0.333,0.401,6,11,0.545,16,29,45,19,13,1,17,29,95,0,,2022
428,Frank Kaminsky,28,PHO,C,9,0,181,36,66,0.545,5,15,0.333,31,51,0.608,0.583,18,20,0.9,11,30,41,13,8,7,5,14,95,0,,2022
429,Kevin Knox,22,2TM,SF,30,0,222,31,85,0.365,15,54,0.278,16,31,0.516,0.453,16,22,0.727,14,30,44,10,4,2,7,19,93,0,,2022
429,Kevin Knox,22,NYK,SF,13,0,111,15,40,0.375,10,28,0.357,5,12,0.417,0.5,7,10,0.7,8,14,22,3,2,1,5,5,47,0,,2022
429,Kevin Knox,22,ATL,SF,17,0,111,16,45,0.356,5,26,0.192,11,19,0.579,0.411,9,12,0.75,6,16,22,7,2,1,2,14,46,0,,2022
430,Reggie Perry,21,2TM,PF,10,1,187,40,79,0.506,3,16,0.188,37,63,0.587,0.525,9,15,0.6,15,32,47,12,9,6,11,33,92,0,,2022
430,Reggie Perry,21,POR,PF,9,1,177,39,78,0.5,3,16,0.188,36,62,0.581,0.519,9,15,0.6,15,31,46,12,9,6,11,30,90,0,,2022
430,Reggie Perry,21,IND,PF,1,0,10,1,1,1.0,0,0,0.0,1,1,1.0,1.0,0,0,0.0,0,1,1,0,0,0,0,3,2,0,,2022
431,Jericho Sims,23,NYK,PF,41,5,555,39,54,0.722,0,0,0.0,39,54,0.722,0.722,12,29,0.414,61,108,169,21,11,22,20,66,90,0,,2022
432,Miles McBride,21,NYK,PG,40,2,372,32,108,0.296,17,68,0.25,15,40,0.375,0.375,8,12,0.667,4,38,42,41,14,1,5,45,89,0,,2022
433,Michael Porter Jr.,23,DEN,SF,9,9,265,37,103,0.359,10,48,0.208,27,55,0.491,0.408,5,9,0.556,9,50,59,17,10,2,12,16,89,0,,2022
434,Bruno Fernando,23,2TM,C,30,0,152,36,55,0.655,1,2,0.5,35,53,0.66,0.664,15,24,0.625,18,37,55,7,1,11,14,24,88,0,,2022
434,Bruno Fernando,23,BOS,C,20,0,58,7,14,0.5,1,1,1.0,6,13,0.462,0.536,4,5,0.8,7,8,15,4,0,3,5,6,19,0,,2022
434,Bruno Fernando,23,HOU,C,10,0,94,29,41,0.707,0,1,0.0,29,40,0.725,0.707,11,19,0.579,11,29,40,3,1,8,9,18,69,0,,2022
435,Georgios Kalaitzakis,23,2TM,SF,13,4,214,31,67,0.463,10,26,0.385,21,41,0.512,0.537,14,30,0.467,6,15,21,12,11,2,20,19,86,0,,2022
435,Georgios Kalaitzakis,23,MIL,SF,9,0,48,5,11,0.455,2,4,0.5,3,7,0.429,0.545,4,9,0.444,4,4,8,0,1,1,4,8,16,0,,2022
435,Georgios Kalaitzakis,23,OKC,SF,4,4,166,26,56,0.464,8,22,0.364,18,34,0.529,0.536,10,21,0.476,2,11,13,12,10,1,16,11,70,0,,2022
436,Nerlens Noel,27,NYK,C,25,11,562,32,60,0.533,0,3,0.0,32,57,0.561,0.533,21,30,0.7,48,93,141,23,30,31,20,67,85,0,,2022
437,Brad Wanamaker,32,2TM,PG,23,2,320,28,77,0.364,4,17,0.235,24,60,0.4,0.39,23,25,0.92,6,33,39,55,7,6,23,45,83,0,,2022
437,Brad Wanamaker,32,IND,PG,22,1,293,26,72,0.361,4,17,0.235,22,55,0.4,0.389,20,22,0.909,6,29,35,48,5,6,23,42,76,0,,2022
437,Brad Wanamaker,32,WAS,PG,1,1,27,2,5,0.4,0,0,0.0,2,5,0.4,0.4,3,3,1.0,0,4,4,7,2,0,0,3,7,0,,2022
438,Justin Champagnie,20,TOR,SF,36,0,281,31,67,0.463,10,28,0.357,21,39,0.538,0.537,9,9,1.0,37,35,72,11,8,4,8,32,81,0,,2022
439,Jake Layman,27,MIN,SF,34,1,231,30,73,0.411,8,35,0.229,22,38,0.579,0.466,13,18,0.722,6,30,36,9,7,5,10,12,81,0,,2022
440,Udoka Azubuike,22,UTA,C,17,6,195,37,49,0.755,0,0,0.0,37,49,0.755,0.755,6,11,0.545,18,53,71,0,1,11,12,25,80,0,,2022
441,Skylar Mays,24,ATL,SG,28,5,220,32,64,0.5,8,25,0.32,24,39,0.615,0.563,8,9,0.889,5,20,25,17,7,0,10,9,80,0,,2022
442,Lindell Wigginton,23,MIL,PG,19,0,199,26,61,0.426,9,26,0.346,17,35,0.486,0.5,19,35,0.543,3,22,25,23,5,1,12,17,80,0,,2022
443,Braxton Key,24,2TM,SF,11,0,197,33,72,0.458,6,21,0.286,27,51,0.529,0.5,7,13,0.538,13,37,50,11,10,11,11,26,79,0,,2022
443,Braxton Key,24,PHI,SF,2,0,6,1,2,0.5,0,1,0.0,1,1,1.0,0.5,0,0,0.0,1,1,2,1,1,0,2,1,2,0,,2022
443,Braxton Key,24,DET,SF,9,0,191,32,70,0.457,6,20,0.3,26,50,0.52,0.5,7,13,0.538,12,36,48,10,9,11,9,25,77,0,,2022
444,Justin Robinson,24,3TM,PG,25,0,304,28,93,0.301,18,61,0.295,10,32,0.313,0.398,4,8,0.5,4,17,21,32,9,1,17,27,78,0,,2022
444,Justin Robinson,24,MIL,PG,17,0,198,18,57,0.316,10,37,0.27,8,20,0.4,0.404,2,2,1.0,2,11,13,21,8,0,11,17,48,0,,2022
444,Justin Robinson,24,SAC,PG,3,0,15,1,8,0.125,0,3,0.0,1,5,0.2,0.125,0,0,0.0,0,1,1,2,0,0,1,2,2,0,,2022
444,Justin Robinson,24,DET,PG,5,0,91,9,28,0.321,8,21,0.381,1,7,0.143,0.464,2,6,0.333,2,5,7,9,1,1,5,8,28,0,,2022
445,Daishen Nix,19,HOU,SG,24,0,261,27,67,0.403,7,26,0.269,20,41,0.488,0.455,16,30,0.533,7,26,33,40,15,0,26,21,77,0,,2022
446,KZ Okpala,22,MIA,PF,21,0,244,30,69,0.435,9,26,0.346,21,43,0.488,0.5,8,11,0.727,11,30,41,14,4,7,5,25,77,0,,2022
447,Greg Monroe,31,4TM,C,14,0,195,32,57,0.561,0,0,0.0,32,57,0.561,0.561,12,23,0.522,30,34,64,22,8,10,12,24,76,0,,2022
447,Greg Monroe,31,MIN,C,4,0,81,13,22,0.591,0,0,0.0,13,22,0.591,0.591,3,7,0.429,6,18,24,16,4,6,7,9,29,0,,2022
447,Greg Monroe,31,WAS,C,2,0,18,4,8,0.5,0,0,0.0,4,8,0.5,0.5,0,0,0.0,7,3,10,1,1,1,2,2,8,0,,2022
447,Greg Monroe,31,MIL,C,5,0,70,11,22,0.5,0,0,0.0,11,22,0.5,0.5,5,9,0.556,11,10,21,2,3,2,3,7,27,0,,2022
447,Greg Monroe,31,UTA,C,3,0,26,4,5,0.8,0,0,0.0,4,5,0.8,0.8,4,7,0.571,6,3,9,3,0,1,0,6,12,0,,2022
448,Kyle Guy,24,MIA,SG,19,0,186,26,65,0.4,14,40,0.35,12,25,0.48,0.508,8,12,0.667,4,13,17,17,7,1,13,12,74,0,,2022
449,Malcolm Hill,26,2TM,SG,19,0,212,24,52,0.462,13,36,0.361,11,16,0.688,0.587,11,14,0.786,11,24,35,8,7,3,3,24,72,0,,2022
449,Malcolm Hill,26,ATL,SG,3,0,46,5,8,0.625,3,5,0.6,2,3,0.667,0.813,4,4,1.0,2,4,6,1,4,1,0,7,17,0,,2022
449,Malcolm Hill,26,CHI,SF,16,0,166,19,44,0.432,10,31,0.323,9,13,0.692,0.545,7,10,0.7,9,20,29,7,3,2,3,17,55,0,,2022
450,Charles Bassey,21,PHI,C,23,0,168,30,47,0.638,0,4,0.0,30,43,0.698,0.638,9,12,0.75,22,40,62,7,5,17,8,32,69,0,,2022
451,Denzel Valentine,28,2TM,SG,24,0,222,25,66,0.379,19,47,0.404,6,19,0.316,0.523,0,0,0.0,9,33,42,11,8,0,12,20,69,0,,2022
451,Denzel Valentine,28,CLE,SG,22,0,204,23,62,0.371,18,44,0.409,5,18,0.278,0.516,0,0,0.0,9,29,38,11,7,0,10,17,64,0,,2022
451,Denzel Valentine,28,UTA,SG,2,0,18,2,4,0.5,1,3,0.333,1,1,1.0,0.625,0,0,0.0,0,4,4,0,1,0,2,3,5,0,,2022
452,Mychal Mulder,27,2TM,PG,17,3,239,24,77,0.312,17,54,0.315,7,23,0.304,0.422,4,4,1.0,2,22,24,5,4,2,8,13,69,0,,2022
452,Mychal Mulder,27,ORL,PG,15,2,195,20,67,0.299,13,46,0.283,7,21,0.333,0.396,2,2,1.0,2,19,21,3,4,1,8,12,55,0,,2022
452,Mychal Mulder,27,MIA,PG,2,1,44,4,10,0.4,4,8,0.5,0,2,0.0,0.6,2,2,1.0,0,3,3,2,0,1,0,1,14,0,,2022
453,Chris Chiozza,26,GSW,PG,34,1,372,24,81,0.296,17,53,0.321,7,28,0.25,0.401,2,3,0.667,9,27,36,65,13,0,32,32,67,0,,2022
454,Tyler Cook,24,CHI,PF,20,2,200,23,38,0.605,0,0,0.0,23,38,0.605,0.605,21,32,0.656,16,37,53,3,4,4,7,28,67,0,,2022
455,JT Thor,19,CHO,PF,33,0,262,24,55,0.436,7,27,0.259,17,28,0.607,0.5,12,20,0.6,11,32,43,19,8,11,10,26,67,0,,2022
456,Sam Hauser,24,BOS,SF,26,0,158,23,50,0.46,19,44,0.432,4,6,0.667,0.65,0,0,0.0,5,24,29,10,1,2,2,7,65,0,,2022
457,Vlatko Čančar,24,DEN,PF,15,1,176,23,41,0.561,7,12,0.583,16,29,0.552,0.646,9,14,0.643,8,23,31,17,2,3,9,18,62,0,,2022
458,Joe Wieskamp,22,SAS,SG,29,0,205,20,56,0.357,14,43,0.326,6,13,0.462,0.482,7,13,0.538,4,10,14,9,4,3,2,14,61,0,,2022
459,Jahmi'us Ramsey,20,SAC,SG,19,0,134,24,58,0.414,5,18,0.278,19,40,0.475,0.457,7,14,0.5,4,9,13,7,1,1,5,10,60,0,,2022
460,Alfonzo McKinnie,29,CHI,SF,17,3,206,24,61,0.393,9,27,0.333,15,34,0.441,0.467,2,8,0.25,13,20,33,5,2,3,7,26,59,0,,2022
461,Xavier Moon,27,LAC,SG,10,0,137,25,51,0.49,5,14,0.357,20,37,0.541,0.539,3,5,0.6,2,12,14,24,7,3,6,9,58,0,,2022
462,Mamadi Diakite,25,OKC,PF,13,3,188,25,47,0.532,0,5,0.0,25,42,0.595,0.532,6,11,0.545,17,42,59,2,5,9,7,33,56,0,,2022
463,Jabari Parker,26,BOS,PF,12,0,112,18,38,0.474,8,16,0.5,10,22,0.455,0.579,9,9,1.0,5,23,28,6,4,1,8,13,53,0,,2022
464,Jalen Johnson,20,ATL,PF,22,0,120,22,41,0.537,3,13,0.231,19,28,0.679,0.573,5,7,0.714,2,24,26,3,3,2,9,9,52,0,,2022
465,Cassius Stanley,22,DET,SG,9,1,155,19,46,0.413,4,17,0.235,15,29,0.517,0.457,10,10,1.0,5,14,19,4,5,2,6,17,52,0,,2022
466,Javonte Smart,22,2TM,PG,17,1,200,19,60,0.317,8,27,0.296,11,33,0.333,0.383,5,6,0.833,5,19,24,16,6,3,11,12,51,0,,2022
466,Javonte Smart,22,MIL,PG,13,1,160,11,43,0.256,4,18,0.222,7,25,0.28,0.302,5,6,0.833,4,15,19,14,4,2,9,11,31,0,,2022
466,Javonte Smart,22,MIA,PG,4,0,40,8,17,0.471,4,9,0.444,4,8,0.5,0.588,0,0,0.0,1,4,5,2,2,1,2,1,20,0,,2022
467,Leandro Bolmaro,21,MIN,SF,35,2,241,17,54,0.315,5,18,0.278,12,36,0.333,0.361,11,13,0.846,16,27,43,21,6,0,13,26,50,0,,2022
468,Devin Cannady,25,ORL,PG,5,0,145,15,44,0.341,15,37,0.405,0,7,0.0,0.511,5,7,0.714,1,5,6,10,5,3,5,9,50,0,,2022
469,Hassani Gravett,25,ORL,PG,8,3,171,18,38,0.474,11,26,0.423,7,12,0.583,0.618,3,4,0.75,1,20,21,20,5,1,9,13,50,0,,2022
470,Jamorko Pickett,24,DET,PF,13,0,176,18,50,0.36,13,39,0.333,5,11,0.455,0.49,1,2,0.5,6,26,32,7,0,7,5,12,50,0,,2022
471,Jay Scrubb,21,LAC,SG,18,0,121,18,46,0.391,6,21,0.286,12,25,0.48,0.457,7,10,0.7,2,14,16,8,4,3,7,9,49,0,,2022
472,Usman Garuba,19,HOU,PF,24,2,239,19,44,0.432,5,20,0.25,14,24,0.583,0.489,5,7,0.714,21,62,83,17,10,11,6,28,48,0,,2022
473,Theo Pinson,26,DAL,SF,19,0,148,14,39,0.359,10,30,0.333,4,9,0.444,0.487,10,10,1.0,2,19,21,17,5,2,5,12,48,0,,2022
474,Devontae Cacok,25,SAS,PF,15,0,121,21,31,0.677,0,0,0.0,21,31,0.677,0.677,4,7,0.571,8,34,42,6,8,7,3,16,46,0,,2022
475,Louis King,22,SAC,SF,10,0,104,15,47,0.319,8,27,0.296,7,20,0.35,0.404,7,10,0.7,0,12,12,9,2,1,0,14,45,0,,2022
476,Neemias Queta,22,SAC,C,15,0,120,17,38,0.447,0,0,0.0,17,38,0.447,0.447,11,17,0.647,14,17,31,6,1,8,6,18,45,0,,2022
477,Zavier Simpson,24,OKC,PG,4,4,174,19,52,0.365,1,8,0.125,18,44,0.409,0.375,5,5,1.0,2,19,21,30,5,4,10,15,44,0,,2022
478,Haywood Highsmith,25,MIA,SF,19,1,163,16,46,0.348,9,28,0.321,7,18,0.389,0.446,2,5,0.4,10,16,26,6,2,3,3,13,43,0,,2022
479,Trevelin Queen,24,HOU,SG,10,0,74,15,33,0.455,9,24,0.375,6,9,0.667,0.591,4,4,1.0,7,9,16,4,5,1,7,6,43,0,,2022
480,Alize Johnson,25,3TM,PF,23,0,167,17,39,0.436,0,4,0.0,17,35,0.486,0.436,7,12,0.583,28,33,61,9,5,0,12,18,41,0,,2022
480,Alize Johnson,25,CHI,PF,16,0,121,12,23,0.522,0,2,0.0,12,21,0.571,0.522,4,7,0.571,16,20,36,8,3,0,8,15,28,0,,2022
480,Alize Johnson,25,WAS,PF,3,0,18,2,6,0.333,0,2,0.0,2,4,0.5,0.333,0,1,0.0,5,7,12,0,0,0,3,0,4,0,,2022
480,Alize Johnson,25,NOP,PF,4,0,28,3,10,0.3,0,0,0.0,3,10,0.3,0.3,3,4,0.75,7,6,13,1,2,0,1,3,9,0,,2022
481,Kevin Pangos,29,CLE,PG,24,3,166,15,46,0.326,6,26,0.231,9,20,0.45,0.391,3,4,0.75,2,9,11,30,3,0,7,11,39,0,,2022
482,Tim Frazier,31,2TM,PG,12,3,208,14,45,0.311,6,17,0.353,8,28,0.286,0.378,5,9,0.556,5,14,19,34,3,1,15,27,39,0,,2022
482,Tim Frazier,31,ORL,PG,10,3,200,13,43,0.302,6,17,0.353,7,26,0.269,0.372,5,9,0.556,5,14,19,33,3,1,13,24,37,0,,2022
482,Tim Frazier,31,CLE,PG,2,0,8,1,2,0.5,0,0,0.0,1,2,0.5,0.5,0,0,0.0,0,0,0,1,0,0,2,3,2,0,,2022
483,Jared Harper,24,NOP,PG,5,0,43,14,26,0.538,5,12,0.417,9,14,0.643,0.635,4,4,1.0,2,0,2,14,4,1,2,5,37,0,,2022
484,Didi Louzada,22,2TM,SF,9,1,129,12,33,0.364,9,23,0.391,3,10,0.3,0.5,2,2,1.0,5,12,17,5,2,2,5,13,35,0,,2022
484,Didi Louzada,22,NOP,SF,2,0,7,0,3,0.0,0,3,0.0,0,0,0.0,0.0,0,0,0.0,2,0,2,1,0,0,0,0,0,0,,2022
484,Didi Louzada,22,POR,SG,7,1,122,12,30,0.4,9,20,0.45,3,10,0.3,0.55,2,2,1.0,3,12,15,4,2,2,5,13,35,0,,2022
485,Willie Cauley-Stein,28,2TM,C,20,2,183,16,35,0.457,1,2,0.5,15,33,0.455,0.471,1,2,0.5,13,27,40,10,6,3,7,19,34,0,,2022
485,Willie Cauley-Stein,28,DAL,C,18,2,177,16,35,0.457,1,2,0.5,15,33,0.455,0.471,1,2,0.5,13,25,38,9,6,3,7,17,34,0,,2022
485,Willie Cauley-Stein,28,PHI,C,2,0,6,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0,2,2,1,0,0,0,2,0,0,,2022
486,Abdel Nader,28,PHO,SF,14,0,145,12,35,0.343,4,14,0.286,8,21,0.381,0.4,6,10,0.6,4,23,27,7,8,4,11,20,34,0,,2022
487,Bol Bol,22,DEN,PF,14,0,81,15,27,0.556,1,4,0.25,14,23,0.609,0.574,2,5,0.4,4,16,20,5,1,2,4,4,33,0,,2022
488,Melvin Frazier,25,OKC,SG,3,0,120,13,48,0.271,1,21,0.048,12,27,0.444,0.281,5,7,0.714,5,8,13,1,1,0,3,8,32,0,,2022
489,Udonis Haslem,41,MIA,C,13,0,83,14,31,0.452,1,4,0.25,13,27,0.481,0.468,3,3,1.0,4,21,25,4,1,1,5,15,32,0,,2022
490,Brandon Knight,30,DAL,PG,5,0,65,10,25,0.4,4,17,0.235,6,8,0.75,0.48,8,8,1.0,0,8,8,8,1,0,4,5,32,0,,2022
491,Paul Watson,27,OKC,SF,9,3,156,12,35,0.343,6,26,0.231,6,9,0.667,0.429,1,2,0.5,3,24,27,8,3,3,4,10,31,0,,2022
492,Chaundee Brown Jr.,23,2TM,SF,5,2,104,10,32,0.313,6,18,0.333,4,14,0.286,0.406,5,6,0.833,1,15,16,4,2,0,1,7,31,0,,2022
492,Chaundee Brown Jr.,23,LAL,SF,2,0,21,1,7,0.143,0,3,0.0,1,4,0.25,0.143,0,0,0.0,0,2,2,0,0,0,1,0,2,0,,2022
492,Chaundee Brown Jr.,23,ATL,SG,3,2,83,9,25,0.36,6,15,0.4,3,10,0.3,0.48,5,6,0.833,1,13,14,4,2,0,0,7,29,0,,2022
493,Quinndary Weatherspoon,25,GSW,SG,11,0,73,12,21,0.571,1,5,0.2,11,16,0.688,0.595,5,5,1.0,2,12,14,5,1,1,3,15,30,0,,2022
494,D.J. Wilson,25,TOR,PF,4,1,54,11,15,0.733,0,2,0.0,11,13,0.846,0.733,8,10,0.8,1,15,16,5,5,1,2,6,30,0,,2022
495,Charlie Brown Jr.,24,2TM,SG,22,2,177,10,39,0.256,1,12,0.083,9,27,0.333,0.269,9,10,0.9,14,18,32,6,10,4,5,18,30,0,,2022
495,Charlie Brown Jr.,24,DAL,SG,3,0,15,1,5,0.2,0,3,0.0,1,2,0.5,0.2,0,0,0.0,0,1,1,1,2,1,0,2,2,0,,2022
495,Charlie Brown Jr.,24,PHI,SG,19,2,162,9,34,0.265,1,9,0.111,8,25,0.32,0.279,9,10,0.9,14,17,31,5,8,3,5,16,28,0,,2022
496,Luke Kornet,26,3TM,C,15,0,103,13,27,0.481,0,5,0.0,13,22,0.591,0.481,4,6,0.667,13,16,29,9,3,3,0,9,30,0,,2022
