Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Season
347,Romeo Langford,22,SAS,SG,4,0,43,4,7,0.571,0,2,0.0,4,5,0.8,0.571,3,8,0.375,0,4,4,2,1,0,0,1,11,0,,2022
348,Maurice Harkless,28,SAC,SF,47,24,863,83,181,0.459,31,101,0.307,52,80,0.65,0.544,20,28,0.714,12,100,112,23,29,24,31,77,217,0,,2022
349,Trey Burke,29,DAL,PG,42,0,441,84,215,0.391,26,82,0.317,58,133,0.436,0.451,20,23,0.87,4,29,33,57,12,0,26,39,214,0,,2022
350,Bismack Biyombo,29,PHO,C,36,3,506,86,145,0.593,0,0,0.0,86,145,0.593,0.593,38,71,0.535,63,104,167,23,12,26,25,70,210,0,,2022
351,Ignas Brazdeikis,23,ORL,SF,42,1,536,81,188,0.431,27,87,0.31,54,101,0.535,0.503,21,32,0.656,23,49,72,37,10,3,17,48,210,0,,2022
352,Davon Reed,26,DEN,SG,48,5,668,81,161,0.503,37,86,0.43,44,75,0.587,0.618,10,15,0.667,14,94,108,53,24,9,16,63,209,0,,2022
353,Saben Lee,22,DET,PG,37,0,604,69,177,0.39,14,60,0.233,55,117,0.47,0.429,56,71,0.789,18,69,87,107,36,12,36,44,208,0,,2022
354,Derrick Favors,30,OKC,C,39,18,653,94,182,0.516,2,16,0.125,92,166,0.554,0.522,16,25,0.64,58,126,184,25,17,12,9,62,206,0,,2022
355,Dennis Smith Jr.,24,POR,PG,37,4,638,79,189,0.418,6,27,0.222,73,162,0.451,0.434,42,64,0.656,20,68,88,132,45,12,51,52,206,0,,2022
356,DeAndre Jordan,33,2TM,C,48,20,622,92,143,0.643,0,0,0.0,92,143,0.643,0.643,22,40,0.55,83,181,264,21,12,35,37,71,206,0,,2022
356,DeAndre Jordan,33,LAL,C,32,19,408,60,89,0.674,0,0,0.0,60,89,0.674,0.674,12,26,0.462,51,121,172,13,10,26,21,50,132,0,,2022
356,DeAndre Jordan,33,PHI,C,16,1,214,32,54,0.593,0,0,0.0,32,54,0.593,0.593,10,14,0.714,32,60,92,8,2,9,16,21,74,0,,2022
357,Dalano Banton,22,TOR,PG,64,1,696,83,202,0.411,13,51,0.255,70,151,0.464,0.443,26,44,0.591,38,86,124,99,28,10,53,68,205,0,,2022
358,Thomas Bryant,24,WAS,C,27,9,439,77,148,0.52,12,42,0.286,65,106,0.613,0.561,35,40,0.875,26,82,108,23,6,21,19,43,201,0,,2022
359,Lindy Waters III,24,OKC,SG,25,1,465,71,175,0.406,53,146,0.363,18,29,0.621,0.557,4,5,0.8,6,67,73,24,19,8,11,31,199,0,,2022
360,Isaiah Joe,22,PHI,SG,55,1,609,62,177,0.35,45,135,0.333,17,42,0.405,0.477,29,31,0.935,6,50,56,35,14,3,19,47,198,0,,2022
361,Day'Ron Sharpe,20,BRK,PF,32,8,391,86,149,0.577,2,7,0.286,84,142,0.592,0.584,24,41,0.585,81,79,160,17,10,15,30,60,198,0,,2022
362,Tomáš Satoranský,30,3TM,SG,55,13,906,72,191,0.377,11,53,0.208,61,138,0.442,0.406,43,54,0.796,27,99,126,184,29,5,46,71,198,0,,2022
362,Tomáš Satoranský,30,NOP,SG,32,3,481,32,107,0.299,5,31,0.161,27,76,0.355,0.322,19,25,0.76,18,46,64,76,14,1,23,33,88,0,,2022
362,Tomáš Satoranský,30,SAS,SF,1,0,9,0,0,0.0,0,0,0.0,0,0,0.0,0.0,3,4,0.75,0,1,1,0,0,0,0,0,3,0,,2022
362,Tomáš Satoranský,30,WAS,PG,22,10,416,40,84,0.476,6,22,0.273,34,62,0.548,0.512,21,25,0.84,9,52,61,108,15,4,23,38,107,0,,2022
